subject_code,target_i,target_j,template_i,template_j,di,dj,C0_x,C0_y,Cmid_x,Cmid_y,C20_x,C20_y,ray_count,shifted_curve,geometry_npz,debug_png,centers_txt
104,169,261,166,266,3,-5,109,69,261,169,109,268,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_104.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/104/rotation_geometry_104.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/104/rotation_debug_104.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/104/rotation_centers_104.txt
105,162,249,166,266,-4,-17,97,62,249,162,97,261,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_105.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/105/rotation_geometry_105.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/105/rotation_debug_105.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/105/rotation_centers_105.txt
106,155,233,166,266,-11,-33,81,55,233,155,81,254,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_106.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/106/rotation_geometry_106.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/106/rotation_debug_106.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/106/rotation_centers_106.txt
110,164,221,166,266,-2,-45,69,64,221,164,69,263,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_110.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/110/rotation_geometry_110.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/110/rotation_debug_110.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/110/rotation_centers_110.txt
111,155,242,166,266,-11,-24,90,55,242,155,90,254,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_111.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/111/rotation_geometry_111.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/111/rotation_debug_111.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/111/rotation_centers_111.txt
112,172,246,166,266,6,-20,94,72,246,172,94,271,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_112.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/112/rotation_geometry_112.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/112/rotation_debug_112.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/112/rotation_centers_112.txt
113,163,230,166,266,-3,-36,78,63,230,163,78,262,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_113.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/113/rotation_geometry_113.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/113/rotation_debug_113.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/113/rotation_centers_113.txt
114,159,222,166,266,-7,-44,70,59,222,159,70,258,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_114.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/114/rotation_geometry_114.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/114/rotation_debug_114.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/114/rotation_centers_114.txt
117,162,232,166,266,-4,-34,80,62,232,162,80,261,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_117.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/117/rotation_geometry_117.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/117/rotation_debug_117.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/117/rotation_centers_117.txt
126,160,231,166,266,-6,-35,79,60,231,160,79,259,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_126.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/126/rotation_geometry_126.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/126/rotation_debug_126.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/126/rotation_centers_126.txt
